,title,domestic_gross,foreign_gross,total_gross
193,Mademoiselle Chambon,532000.0,4700000.0,5232000.0
194,Solitary Man,4400000.0,818000.0,5218000.0
195,Rabbit Hole,2200000.0,2900000.0,5100000.0
196,Vision,435000.0,4600000.0,5035000.0
197,Mother and Child,1100000.0,3900000.0,5000000.0
198,The Runaways,3600000.0,1100000.0,4700000.0
199,Four Lions,305000.0,4400000.0,4705000.0
200,Wild Grass,404000.0,4200000.0,4604000.0
201,Please Give,4000000.0,280000.0,4280000.0
202,Monsters,237000.0,4000000.0,4237000.0
203,Rare Exports: A Christmas Tale,236000.0,3800000.0,4036000.0
204,The Killer Inside Me,217000.0,3800000.0,4017000.0
205,The Perfect Game,1000000.0,2800000.0,3800000.0
206,To Save a Life,3800000.0,45800.0,3845800.0
207,Inspector Bellamy,108000.0,3600000.0,3708000.0
208,Catfish,3200000.0,242000.0,3442000.0
209,Wild Target,109000.0,3300000.0,3409000.0
210,Outside the Law (Hors-la-loi),96900.0,3300000.0,3396900.0
211,Frozen (2010),246000.0,2900000.0,3146000.0
212,Dabangg,1300000.0,1700000.0,3000000.0
213,Kites,1600000.0,1300000.0,2900000.0
214,Letters to God,2800000.0,60300.0,2860300.0
215,Twelve,184000.0,2400000.0,2584000.0
216,Tees Maar Khan,1100000.0,1400000.0,2500000.0
217,Fish Tank,375000.0,2000000.0,2375000.0
218,Housefull,1200000.0,1200000.0,2400000.0
219,Golmaal 3,1100000.0,935000.0,2035000.0
220,After.Life,109000.0,1900000.0,2009000.0
221,Cairo Time,1600000.0,391000.0,1991000.0
223,Guzaarish,1000000.0,695000.0,1695000.0
224,Ondine,550000.0,1100000.0,1650000.0
225,Anjaana Anjaani,855000.0,761000.0,1616000.0
226,John Rabe,67500.0,1400000.0,1467500.0
227,Restrepo,1300000.0,105000.0,1405000.0
228,Raavan,709000.0,648000.0,1357000.0
229,The City of Your Final Destination,493000.0,859000.0,1352000.0
231,Ajami,622000.0,669000.0,1291000.0
232,Army of Crime,37000.0,1200000.0,1237000.0
233,Lebanon,368000.0,830000.0,1198000.0
234,Howl,617000.0,566000.0,1183000.0
235,Videocracy,23700.0,1200000.0,1223700.0
236,When You're Strange,246000.0,901000.0,1147000.0
237,The Salvation Poem (Poema de Salvacion),915000.0,183000.0,1098000.0
238,Casino Jack,1000000.0,40700.0,1040700.0
239,Leaving,176000.0,893000.0,1069000.0
240,Khatta Meetha,542000.0,499000.0,1041000.0
241,We Are Family,638000.0,393000.0,1031000.0
242,Leaves of Grass,70100.0,949000.0,1019100.0
243,North Face,711000.0,216000.0,927000.0
244,Creation,341000.0,555000.0,896000.0
245,No One Knows About Persian Cats,81800.0,798000.0,879800.0
246,Carlos,146000.0,726000.0,872000.0
247,Hideaway (Le Refuge),34500.0,837000.0,871500.0
248,The Disappearance of Alice Creed,167000.0,701000.0,868000.0
249,Break Ke Baad,428000.0,389000.0,817000.0
250,Veer (2010),527000.0,277000.0,804000.0
251,Life During Wartime,281000.0,487000.0,768000.0
252,Enter the Void,336000.0,418000.0,754000.0
253,The Secret of Kells,677000.0,62700.0,739700.0
255,No Problem,285000.0,369000.0,654000.0
256,All Good Things,582000.0,62500.0,644500.0
257,Jack Goes Boating,542000.0,77600.0,619600.0
258,Holy Rollers,303000.0,305000.0,608000.0
259,Chain Letter,139000.0,447000.0,586000.0
260,I Spit on Your Grave,93100.0,480000.0,573100.0
261,I'm Still Here,409000.0,160000.0,569000.0
262,Salt of this Sea,11700.0,545000.0,556700.0
263,Undertow (2010),109000.0,393000.0,502000.0
264,Father of My Children,144000.0,335000.0,479000.0
265,The Greatest (2010),115000.0,359000.0,474000.0
266,The Extra Man,453000.0,4500.0,457500.0
268,Dogtooth,110000.0,274000.0,384000.0
270,The Tempest,278000.0,68700.0,346700.0
271,The Good Heart,20900.0,323000.0,343900.0
272,Formosa Betrayed,225000.0,101000.0,326000.0
273,Red Hill,21100.0,300000.0,321100.0
274,Welcome to the Rileys,159000.0,158000.0,317000.0
275,"A Woman, A Gun and A Noodle Shop",191000.0,121000.0,312000.0
276,The Girl on the Train,208000.0,97100.0,305100.0
277,Mesrine: Public Enemy No. 1,275000.0,28100.0,303100.0
278,44 Inch Chest,39000.0,255000.0,294000.0
279,Karthik Calling Karthik,286000.0,7100.0,293100.0
281,Eyes Wide Open,26300.0,250000.0,276300.0
282,Waste Land,188000.0,88700.0,276700.0
283,South of the Border,199000.0,70800.0,269800.0
284,Human Centipede,181000.0,70700.0,251700.0
285,"Lovely, Still",128000.0,106000.0,234000.0
286,The Girl (Flickan),2200.0,229000.0,231200.0
288,Bitch Slap,17400.0,182000.0,199400.0
289,Chance Pe Dance,169000.0,24300.0,193300.0
290,Client 9: The Rise and Fall of Eliot Spitzer,189000.0,3500.0,192500.0
292,Perrier's Bounty,800.0,167000.0,167800.0
293,Around a Small Mountain,33200.0,131000.0,164200.0
294,Spring Fever,10800.0,150000.0,160800.0
295,The Eclipse,133000.0,26400.0,159400.0
296,George A. Romero's Survival of the Dead,102000.0,41500.0,143500.0
297,The Romantics,107000.0,17300.0,124300.0
299,Freakonomics,101000.0,16400.0,117400.0
300,Saint John of Las Vegas,103000.0,9100.0,112100.0
301,Band Baaja Baaraat,43800.0,60700.0,104500.0
303,Kisses,81700.0,15300.0,97000.0
304,Waking Sleeping Beauty,80700.0,4200.0,84900.0
305,Enemies of the People,73200.0,6400.0,79600.0
307,Hadewijch,5000.0,57500.0,62500.0
309,As Good as Dead,2000.0,53600.0,55600.0
310,Inhale,4100.0,51000.0,55100.0
312,District B13: Ultimatum,36100.0,16200.0,52300.0
313,GasLand,30800.0,18600.0,49400.0
314,Boogie Woogie,2600.0,44900.0,47500.0
315,Come Undone (2010),10000.0,31300.0,41300.0
316,The Red Baron,37200.0,3100.0,40300.0
317,Bluebeard,33500.0,5200.0,38700.0
318,Daddy Longlegs,21800.0,11500.0,33300.0
320,Nenette,18000.0,5400.0,23400.0
321,Picture Me,12000.0,10400.0,22400.0
322,The Thorn in the Heart,7400.0,10500.0,17900.0
328,Harry Potter and the Deathly Hallows Part 2,381000000.0,960500000.0,1341500000.0
329,Transformers: Dark of the Moon,352400000.0,771400000.0,1123800000.0
330,Pirates of the Caribbean: On Stranger Tides,241100000.0,804600000.0,1045700000.0
331,The Twilight Saga: Breaking Dawn Part 1,281300000.0,430900000.0,712200000.0
332,Mission: Impossible - Ghost Protocol,209400000.0,485300000.0,694700000.0
333,Kung Fu Panda 2,165200000.0,500400000.0,665600000.0
334,Fast Five,209800000.0,416300000.0,626100000.0
335,The Hangover Part II,254500000.0,332300000.0,586800000.0
336,The Smurfs,142600000.0,421100000.0,563700000.0
337,Cars 2,191500000.0,370700000.0,562200000.0
338,Puss in Boots,149300000.0,405700000.0,555000000.0
339,Sherlock Holmes: A Game of Shadows,186800000.0,358600000.0,545400000.0
340,Rio,143600000.0,341000000.0,484600000.0
341,Rise of the Planet of the Apes,176800000.0,305000000.0,481800000.0
342,Thor,181000000.0,268300000.0,449300000.0
343,The Adventures of Tintin,77600000.0,296400000.0,374000000.0
344,Captain America: The First Avenger,176700000.0,193900000.0,370600000.0
345,X-Men: First Class,146400000.0,207200000.0,353600000.0
346,Alvin and the Chipmunks: Chipwrecked,133100000.0,209600000.0,342700000.0
347,Real Steel,85500000.0,213800000.0,299300000.0
348,Bridesmaids,169100000.0,119300000.0,288400000.0
349,Super 8,127000000.0,133100000.0,260100000.0
350,Rango,123500000.0,122200000.0,245700000.0
351,The Girl with the Dragon Tattoo (2011),102500000.0,130100000.0,232600000.0
352,The Green Hornet,98800000.0,129000000.0,227800000.0
353,Immortals,83500000.0,143400000.0,226900000.0
354,Green Lantern,116600000.0,103300000.0,219900000.0
355,The Help,169700000.0,46900000.0,216600000.0
356,Bad Teacher,100300000.0,115900000.0,216200000.0
357,Just Go With It,103000000.0,111900000.0,214900000.0
358,Battle: Los Angeles,83600000.0,128300000.0,211900000.0
359,Horrible Bosses,117500000.0,92100000.0,209600000.0
360,Paranormal Activity 3,104000000.0,103000000.0,207000000.0
361,Gnomeo and Juliet,100000000.0,94000000.0,194000000.0
362,Mr. Popper's Penguins,68200000.0,119100000.0,187300000.0
363,Hugo,73900000.0,111900000.0,185800000.0
364,The Lion King (in 3D),94200000.0,91300000.0,185500000.0
365,Hop,108100000.0,75900000.0,184000000.0
366,War Horse,79900000.0,97700000.0,177600000.0
367,The Descendants,82600000.0,94700000.0,177300000.0
368,Cowboys & Aliens,100200000.0,74600000.0,174800000.0
369,In Time,37500000.0,136400000.0,173900000.0
370,Zookeeper,80400000.0,89500000.0,169900000.0
371,The Muppets,88600000.0,76600000.0,165200000.0
372,Limitless,79200000.0,82600000.0,161800000.0
373,Johnny English Reborn,8300000.0,151800000.0,160100000.0
374,Final Destination 5,42600000.0,115300000.0,157900000.0
375,Tower Heist,78000000.0,74900000.0,152900000.0
376,Midnight in Paris,56800000.0,94300000.0,151100000.0
377,Happy Feet Two,64000000.0,86400000.0,150400000.0
378,I Am Number Four,55100000.0,94800000.0,149900000.0
379,Jack and Jill,74200000.0,75500000.0,149700000.0
380,Friends with Benefits,55800000.0,93700000.0,149500000.0
381,No Strings Attached,70700000.0,78600000.0,149300000.0
382,Arthur Christmas,46500000.0,101000000.0,147500000.0
383,Source Code,54700000.0,92600000.0,147300000.0
384,"Crazy, Stupid, Love.",84400000.0,58500000.0,142900000.0
385,New Year's Eve,54500000.0,87500000.0,142000000.0
386,Contagion,75700000.0,59800000.0,135500000.0
387,The Artist,44700000.0,88800000.0,133500000.0
388,The Three Musketeers (2011),20400000.0,111900000.0,132300000.0
389,Unknown,63700000.0,67099999.0,130799999.0
390,The Adjustment Bureau,62500000.0,65400000.0,127900000.0
391,We Bought a Zoo,75600000.0,44500000.0,120100000.0
392,Water for Elephants,58700000.0,58400000.0,117100000.0
393,The Iron Lady,30000000.0,84900000.0,114900000.0
394,Moneyball,75600000.0,34600000.0,110200000.0
