,Unnamed: 0,id,original_language,popularity,title,rating
474,474,40722,en,4.459,How to Make Love to a Woman,4.6
475,475,42171,en,4.434,The Infidel,6.0
476,476,37665,en,4.39,Wake,4.8
477,477,31035,no,4.381,A Somewhat Gentle Man,6.3
478,478,46198,en,4.378,My Girlfriend's Boyfriend,5.9
479,479,46147,no,4.32,"Happy, Happy",6.2
480,480,51273,ru,4.319,Dark World,4.3
481,481,66111,en,4.309,Luster,5.1
482,482,49901,de,4.302,Rammbock: Berlin Undead,6.0
483,483,44224,en,4.288,Bear,3.5
484,484,11403,en,4.282,The River Why,5.7
485,485,38186,ru,4.274,Alien Girl,6.7
486,486,44566,hi,4.265,Anjaana Anjaani,6.1
487,487,35691,en,4.242,Letters to God,6.9
488,488,43642,en,4.233,Abandoned,4.8
489,489,29919,en,4.203,The Six Wives of Henry Lefay,5.3
490,490,46718,en,4.2,DC Showcase: Green Arrow,7.2
491,491,37757,en,4.197,Never Sleep Again: The Elm Street Legacy,8.2
492,492,48798,en,4.196,Love and Distrust,4.7
493,493,59248,en,4.194,The Wildest Dream,7.2
494,494,44745,en,4.193,Beatdown,5.1
495,495,51875,en,4.145,Miss Nobody,4.9
496,496,68212,en,4.145,The Terror Experiment,4.4
497,497,34586,ru,4.14,Kandahar,6.7
498,498,46967,en,4.138,Bill Burr: Let It Go,7.9
499,499,32407,en,4.097,Malice in Wonderland,5.7
500,500,35074,en,4.084,Dinoshark,4.2
501,501,52939,ru,4.081,Tri bogatyrya i Shamakhanskaya tsaritsa,5.9
502,502,38984,fr,4.057,Coco Chanel & Igor Stravinsky,6.3
503,503,37196,en,4.047,The Daisy Chain,5.2
504,504,19688,en,4.046,Middle of Nowhere,5.9
505,505,63414,te,4.029,Darling,4.9
506,506,6172,de,4.018,My Führer,5.2
507,507,41409,en,3.985,Airline Disaster,3.2
508,508,52817,en,3.973,Bitter Feast,5.4
509,509,32845,en,3.969,Wrong Side of Town,5.2
510,510,36696,ru,3.952,Space Dogs,5.5
511,511,55246,en,3.952,Ceremony,5.2
512,512,43922,en,3.948,Legendary,6.4
513,513,38166,en,3.948,The Stranger,5.0
514,514,59944,ja,3.9,From Me To You,6.5
515,515,36085,de,3.9,The Crocodiles Strike Back,6.4
516,516,40777,hi,3.867,I Hate Luv Storys,6.1
517,517,31059,ru,3.867,Nasha Russia: Yaytsa sudby,4.3
518,518,39544,ja,3.863,Oblivion Island: Haruka and the Magic Mirror,6.7
519,519,38180,en,3.844,DC Showcase: The Spectre,6.4
520,520,75311,en,3.829,The People vs. George Lucas,6.4
521,521,76706,en,3.793,Christmas Mail,5.4
522,522,148607,en,3.787,Heavy Metal Mater,5.7
523,523,35656,en,3.765,As Good As Dead,4.8
524,524,41360,en,3.738,Hunter Prey,5.6
525,525,71244,en,3.728,Monte Walsh,6.3
526,526,59419,en,3.728,The Best and the Brightest,4.5
527,527,46689,en,3.707,Waste Land,7.7
