,movie_id,averagerating,original_title,genres
317,tt1798162,6.3,Hasipur Ha'acharon Shel Kafka,"Documentary,History,Mystery"
318,tt1798164,5.4,Heart Breaks Open,Drama
319,tt1801512,6.2,Ich bin eine Terroristin,"Comedy,Family"
320,tt1802827,8.9,The Way He Makes Them Feel: A Michael Jackson Fan Documentary,"Documentary,Music"
321,tt1808197,6.5,Incir Reçeli,"Drama,Romance"
322,tt1808208,4.0,Jak sie pozbyc cellulitu,Comedy
323,tt1810756,4.4,Sick and Sicker,"Documentary,News"
324,tt1813152,8.6,Amateur Night,"Documentary,History"
325,tt1814768,7.6,Lena will es endlich wissen,"Comedy,Drama"
326,tt1815605,4.3,Baryllis Baked Beans,"Comedy,Romance"
327,tt1815707,6.9,Frankie in Blunderland,Fantasy
328,tt1815836,6.9,Moy papa Baryshnikov,"Comedy,Drama"
329,tt1817711,6.3,Kaland,"Drama,Romance"
330,tt0758752,6.7,Love & Other Drugs,"Comedy,Drama,Romance"
331,tt0775461,5.4,Destová víla,"Family,Fantasy"
332,tt0800054,7.8,The Guardians,"Comedy,Family"
333,tt0800092,4.3,Ironmen,"Biography,Drama"
334,tt0816362,6.7,Card Subject to Change,Documentary
335,tt0825282,6.5,Où va la nuit,Drama
336,tt0960864,7.0,"Truth in Numbers? Everything, According to Wikipedia",Documentary
337,tt0978812,6.4,Have You Heard from Johannesburg: Free at Last,Documentary
338,tt0979434,5.0,Lottery Ticket,Comedy
339,tt0985694,6.6,Machete,"Action,Crime,Thriller"
340,tt10062286,5.9,Lustrum,Documentary
341,tt10075374,8.3,The Little Prince,Action
342,tt10174464,7.3,Senses 3&4,Drama
343,tt10243678,6.5,Chopsticks,"Comedy,Drama"
344,tt10254986,7.0,Q Ball,Documentary
345,tt6494520,4.3,"Geceyarisi, Türkiye zamani","Crime,Drama"
346,tt6500762,6.0,Loi nguyen huyet ngai,Horror
347,tt6505826,5.5,J Revolusi,Action
348,tt6506146,5.0,Mata Batin,"Horror,Thriller"
349,tt6522546,6.8,Spyder,"Action,Thriller"
350,tt6523386,6.9,Mules,Documentary
351,tt6547822,3.7,Bloody Murder,Thriller
352,tt6555772,5.8,Tatlim Tatlim,"Comedy,Romance"
353,tt6558114,4.8,The BBQ,Comedy
354,tt6579530,4.8,Bigfoot at Millcreek,"Horror,Mystery,Thriller"
355,tt6582734,6.4,En algun lugar,"Comedy,Drama,Romance"
356,tt6589292,6.0,Mustang Island,Comedy
357,tt6590978,8.0,Daddy's Daughter,Drama
358,tt6594022,3.9,Genco,"Drama,Fantasy"
359,tt6594148,5.4,Seed,Documentary
360,tt6597044,6.2,Gora,Drama
361,tt6599256,8.3,Shadow of Truth,"Crime,Documentary,Mystery"
362,tt6612178,7.9,Converso,Documentary
363,tt6634906,7.6,Gekijouban soushuuhen Ôbârôdo: Fushisha no ou,Animation
364,tt6636878,7.9,Tu pug imatuy,Drama
365,tt6677500,4.5,Ask Uykusu,Drama
366,tt6679412,6.2,Rimetti a noi i nostri debiti,Drama
367,tt6688136,5.9,Expedition Happiness,Documentary
368,tt6704014,6.6,Babu Baga Busy,Comedy
369,tt6705988,8.1,The Tattooist,Documentary
370,tt6710772,7.4,Counterfeiters,Drama
371,tt6712026,7.1,Kavan,"Action,Thriller"
372,tt6720674,6.5,Tale of the Lost Boys,Drama
373,tt6725484,7.1,Can't Help Falling in Love,Romance
374,tt6730644,6.5,Jhumkee,Thriller
375,tt6731592,7.9,"Piazzolla, los años del tiburón",Documentary
376,tt6737494,8.9,Writing Home,"Comedy,Romance"
377,tt6742252,7.5,Den skyldige,"Crime,Drama,Thriller"
378,tt6745192,6.8,Cool As Hell 2,Comedy
379,tt6749456,8.9,Gyerunk Gyerekek: A Válogatott úTja Az Elitbe,Documentary
380,tt6750506,5.9,Siam Square,Horror
381,tt6751046,7.6,Sultana Bibiana,"Drama,Romance"
382,tt6764122,7.1,Ramen Heads,Documentary
383,tt6769280,5.7,Time Freak,"Comedy,Drama,Romance"
384,tt6778706,7.9,Jill and Bobby,Comedy
385,tt6780706,9.4,We Are EC: The Untold Story of East Chicago Basketball,Documentary
386,tt6806804,7.6,"Those Who Come, Will Hear",Documentary
387,tt6808782,5.9,Playtime,Drama
388,tt6828530,6.3,Donaire y Esplendor,Comedy
389,tt6831278,7.0,Until First Light,Drama
390,tt6844416,6.4,Corralón,"Drama,Thriller"
391,tt6845800,8.2,Supermen: World War,Action
392,tt6850078,9.2,The Road Forward,Documentary
393,tt6854248,6.6,Perfect Bid: The Contestant Who Knew Too Much,"Documentary,History"
394,tt6857040,4.6,The Appearance,"Horror,Thriller"
395,tt6857298,5.2,Frightening Embroidery Shoes,"Drama,Horror,Mystery"
396,tt6858020,6.1,Au bout des doigts,"Drama,Romance"
397,tt6866652,3.3,The Plan,Horror
398,tt6867356,9.1,One Angry Vegan,Documentary
399,tt6870220,8.6,The Faces of Lafora,"Documentary,Drama"
400,tt6871240,8.2,Bartok,Biography
401,tt6888762,7.9,Surprise,"Horror,Mystery,Thriller"
402,tt6892088,7.8,18 Hours,"Drama,Thriller"
403,tt6901904,7.6,L'uomo che non cambiò la storia,"Documentary,History,War"
404,tt6910380,7.5,My Name Is Myeisha,Drama
405,tt6920930,4.6,My Sex Robot,Documentary
406,tt6922138,9.2,British Winters,Drama
407,tt6925132,5.4,Lavakusa,Romance
408,tt6925204,5.4,Genius,Drama
409,tt6936264,6.2,Prioni,"Horror,Sci-Fi"
410,tt6943606,8.0,Revenge is Best Served,Horror
411,tt6947800,6.9,Skull,"Action,Mystery,Romance"
412,tt6954970,8.2,Nureyev: An Orgy Of One,Documentary
413,tt6955130,6.1,Heung-bu,History
414,tt6982394,7.9,A Descent to Grace,Crime
415,tt6983064,6.7,Kompani Hansteen,"Adventure,Fantasy,War"
416,tt6998228,5.9,Sobre Nós,Drama
417,tt7004152,7.0,Pet Names,Drama
418,tt7008774,4.5,Bridge in Clouds,Horror
419,tt7012864,6.3,Lowlife,"Comedy,Crime,Drama"
420,tt7021436,7.3,Ava,Drama
421,tt7024660,8.1,Salam Pakistan,"Comedy,Mystery,Romance"
422,tt7026270,8.1,Summertime,Drama
423,tt7027278,6.0,Kedarnath,"Drama,Romance"
424,tt7030048,5.2,Vilakkumaram,Drama
425,tt7056470,6.8,69 minutter av 86 dager,Documentary
426,tt7063474,7.9,Charlie's Letters,"Drama,War"
427,tt7076838,5.6,Adam,Drama
428,tt7089878,7.2,Rizu to aoi tori,"Animation,Drama,Fantasy"
429,tt7093188,8.2,Darkside Stories,"Horror,Thriller"
430,tt7108862,3.7,M.I.A. A Greater Evil,"Drama,Horror,Mystery"
431,tt7112166,5.4,DC Super Heroes vs. Eagle Talon,"Animation,Comedy"
432,tt7122516,7.5,The Fearless One,"Action,Thriller"
433,tt7134214,7.5,"Dhaulagiri, ascenso a la montaña blanca",Documentary
434,tt7142712,7.1,"Grüner wird's nicht, sagte der Gärtner und flog davon","Adventure,Comedy,Drama"
435,tt7149066,6.5,The Sonata,"Mystery,Thriller"
